"finest_name","kingdom","phylum","class","order","family","genus","species","community"
"Micropepsaceae::Cluster_1102","Bacteria","Proteobacteria","Alphaproteobacteria","Micropepsales","Micropepsaceae","unassigned","unassigned","bacteria"
"Kineosporia::Cluster_237","Bacteria","Actinobacteriota","Actinobacteria","Kineosporiales","Kineosporiaceae","Kineosporia","unassigned","bacteria"
"Acidibacter::Cluster_171","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria Incertae Sedis","unassigned","Acidibacter","unassigned","bacteria"
"Phenylobacterium::Cluster_397","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium","unassigned","bacteria"
"Acidibacter::Cluster_506","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria Incertae Sedis","unassigned","Acidibacter","unassigned","bacteria"
"Microscillaceae::Cluster_270","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae","unassigned","unassigned","bacteria"
"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium::Cluster_512","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","unassigned","bacteria"
"Aeromonas::Cluster_514","Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas","unassigned","bacteria"
"Micropepsaceae::Cluster_746","Bacteria","Proteobacteria","Alphaproteobacteria","Micropepsales","Micropepsaceae","unassigned","unassigned","bacteria"
"Micropepsaceae::Cluster_557","Bacteria","Proteobacteria","Alphaproteobacteria","Micropepsales","Micropepsaceae","unassigned","unassigned","bacteria"
"Mucilaginibacter::Cluster_2045","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter","unassigned","bacteria"
"Microscillaceae::Cluster_227","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae","unassigned","unassigned","bacteria"
"Mycobacterium::Cluster_780","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium","unassigned","bacteria"
"Burkholderia-Caballeronia-Paraburkholderia::Cluster_576","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia-Caballeronia-Paraburkholderia","unassigned","bacteria"
"Mucilaginibacter::Cluster_787","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter","unassigned","bacteria"
"Microscillaceae::Cluster_955","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae","unassigned","unassigned","bacteria"
"Rickettsiella::Cluster_6579","Bacteria","Proteobacteria","Gammaproteobacteria","Diplorickettsiales","Diplorickettsiaceae","Rickettsiella","unassigned","bacteria"
"Reyranella::Cluster_728","Bacteria","Proteobacteria","Alphaproteobacteria","Reyranellales","Reyranellaceae","Reyranella","unassigned","bacteria"
"Dongia soli::Cluster_735","Bacteria","Proteobacteria","Alphaproteobacteria","Dongiales","Dongiaceae","Dongia","Dongia soli","bacteria"
"Micropepsaceae::Cluster_1014","Bacteria","Proteobacteria","Alphaproteobacteria","Micropepsales","Micropepsaceae","unassigned","unassigned","bacteria"
"Pseudomonas::Cluster_733","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","unassigned","bacteria"
"Mucilaginibacter::Cluster_1505","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter","unassigned","bacteria"
"Chitinophaga rupis::Cluster_1619","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Chitinophaga","Chitinophaga rupis","bacteria"
"Bacteroidetes bacterium N2::Cluster_2198","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae","unassigned","Bacteroidetes bacterium N2","bacteria"
"Acidobacteriales::Cluster_1681","Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","unassigned","unassigned","unassigned","bacteria"
"Subgroup 10::Cluster_2255","Bacteria","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup 10","unassigned","bacteria"
"Mucilaginibacter::Cluster_8667","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter","unassigned","bacteria"
"Microscillaceae::Cluster_2269","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae","unassigned","unassigned","bacteria"
"bacterium Ellin516::Cluster_1746","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","Ellin516","bacterium Ellin516","bacteria"
"Promicromonosporaceae::Cluster_1848","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Promicromonosporaceae","unassigned","unassigned","bacteria"
"Microscillaceae::Cluster_2420","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae","unassigned","unassigned","bacteria"
"Acidibacter::Cluster_1926","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria Incertae Sedis","unassigned","Acidibacter","unassigned","bacteria"
"Acidibacter::Cluster_1949","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria Incertae Sedis","unassigned","Acidibacter","unassigned","bacteria"
"Granulicella::Cluster_4990","Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Granulicella","unassigned","bacteria"
"Haliangium::Cluster_2565","Bacteria","Myxococcota","Polyangia","Haliangiales","Haliangiaceae","Haliangium","unassigned","bacteria"
"Mucilaginibacter ximonensis::Cluster_4587","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter","Mucilaginibacter ximonensis","bacteria"
"Pedosphaeraceae::Cluster_4585","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","unassigned","unassigned","bacteria"
"Acidobacteriaceae bacterium TAA166::Cluster_3049","Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Edaphobacter","Acidobacteriaceae bacterium TAA166","bacteria"
"Chitinophagaceae::Cluster_5322","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","unassigned","unassigned","bacteria"
"Mucilaginibacter::Cluster_3095","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter","unassigned","bacteria"
"Mucilaginibacter::Cluster_4327","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter","unassigned","bacteria"
"BIrii41::Cluster_4404","Bacteria","Myxococcota","Polyangia","Polyangiales","BIrii41","unassigned","unassigned","bacteria"
"type III::Cluster_3436","Bacteria","Firmicutes","Bacilli","Entomoplasmatales","type III","unassigned","unassigned","bacteria"
"Pedosphaeraceae::Cluster_4887","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","unassigned","unassigned","bacteria"
"Flavobacterium::Cluster_239","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","unassigned","bacteria"
