"","query","kingdom","phylum","class","order","family","genus","species","community"
"880","M03493:516:000000000-L4LRP:1:1107:26262:10907","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","unassigned","fungi"
"881","M03493:516:000000000-L4LRP:1:1104:22353:9818","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","unassigned","unassigned","unassigned","fungi"
"882","M03493:516:000000000-L4LRP:1:1101:4497:15613","Fungi","Ascomycota","Lecanoromycetes","unassigned","unassigned","unassigned","unassigned","fungi"
"883","M03493:516:000000000-L4LRP:1:1102:13498:2929","Fungi","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","fungi"
"884","M03493:516:000000000-L4LRP:1:1101:6108:18802","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","unassigned","unassigned","fungi"
"885","M03493:516:000000000-L4LRP:1:1101:21663:22187","Fungi","Glomeromycota","Archaeosporomycetes","Archaeosporales","Archaeosporaceae","unassigned","unassigned","fungi"
"886","M03493:516:000000000-L4LRP:1:1102:14024:10488","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Bipolaris","unassigned","fungi"
"887","M03493:516:000000000-L4LRP:1:1102:16506:7126","Fungi","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","fungi"
"888","M03493:516:000000000-L4LRP:1:1102:23710:15849","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae","Metarhizium","Metarhizium_marquandii","fungi"
"889","M03493:516:000000000-L4LRP:1:1102:24901:21451","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","unassigned","unassigned","fungi"
"890","M03493:516:000000000-L4LRP:1:1101:21583:4062","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Boubovia","Boubovia_luteola","fungi"
"891","M03493:516:000000000-L4LRP:1:1104:24097:8752","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Bolbitiaceae","Conocybe","Conocybe_cylindracea","fungi"
"892","M03493:516:000000000-L4LRP:1:1101:17018:3600","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Mycena","Mycena_olivaceomarginata","fungi"
"893","M03493:516:000000000-L4LRP:1:1111:10374:26607","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Lycoperdaceae","Bovista","unassigned","fungi"
"894","M03493:516:000000000-L4LRP:1:1103:3886:20293","Fungi","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","fungi"
"895","M03493:516:000000000-L4LRP:1:1102:2912:18236","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Trichopezizella","unassigned","fungi"
"896","M03493:516:000000000-L4LRP:1:1114:23273:13456","Fungi","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","fungi"
"897","M03493:516:000000000-L4LRP:1:2108:16332:3161","Fungi","Ascomycota","Leotiomycetes","Helotiales","unassigned","unassigned","unassigned","fungi"
"898","M03493:516:000000000-L4LRP:1:1102:17735:6075","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Septoriella","Septoriella_hirta","fungi"
"899","M03493:516:000000000-L4LRP:1:1109:26386:17028","Fungi","Ascomycota","Dothideomycetes","Pleosporales","unassigned","unassigned","unassigned","fungi"
"900","M03493:516:000000000-L4LRP:1:1105:26443:12535","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Chaetomium","Chaetomium_subspirilliferum","fungi"
"901","M03493:516:000000000-L4LRP:1:2101:17317:3211","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lophiostomataceae","unassigned","unassigned","fungi"
"902","M03493:516:000000000-L4LRP:1:1102:3799:17881","Fungi","Ascomycota","Dothideomycetes","unassigned","unassigned","unassigned","unassigned","fungi"
"903","M03493:516:000000000-L4LRP:1:1107:13345:8426","Fungi","Ascomycota","Sordariomycetes","Hypocreales","unassigned","unassigned","unassigned","fungi"
"904","M03493:516:000000000-L4LRP:1:1104:8566:19733","Fungi","Ascomycota","unassigned","unassigned","unassigned","unassigned","unassigned","fungi"
"905","M03493:516:000000000-L4LRP:1:1110:8915:11395","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","fungi"
"906","M03493:516:000000000-L4LRP:1:1110:5499:7747","Fungi","Ascomycota","Sordariomycetes","Xylariales","unassigned","unassigned","unassigned","fungi"
"907","M03493:516:000000000-L4LRP:1:2104:11472:24099","Fungi","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","fungi"
"908","M03493:516:000000000-L4LRP:1:1103:22662:11521","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pezizaceae","Iodophanus","Iodophanus_carneus","fungi"
"909","M03493:516:000000000-L4LRP:1:1101:20713:5162","Fungi","Glomeromycota","Archaeosporomycetes","Archaeosporales","Archaeosporaceae","unassigned","unassigned","fungi"
"910","M03493:516:000000000-L4LRP:1:1103:16933:12947","Fungi","Glomeromycota","Glomeromycetes","Diversisporales","Diversisporaceae","unassigned","unassigned","fungi"
"911","M03493:516:000000000-L4LRP:1:1106:10965:24629","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Dominikia","Dominikia_iranica","fungi"
"912","M03493:516:000000000-L4LRP:1:1101:5304:16311","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Debaryomycetaceae","Schwanniomyces","Schwanniomyces_occidentalis","fungi"
"913","M03493:516:000000000-L4LRP:1:1102:15141:14901","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","fungi"
"914","M03493:516:000000000-L4LRP:1:1105:19845:6363","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","fungi"
"915","M03493:516:000000000-L4LRP:1:1101:27364:9310","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Hannaella","Hannaella_oryzae","fungi"
"916","M03493:516:000000000-L4LRP:1:1102:12303:23437","Fungi","Ascomycota","unassigned","unassigned","unassigned","unassigned","unassigned","fungi"
"917","M03493:516:000000000-L4LRP:1:1103:14922:25911","Fungi","Ascomycota","Lecanoromycetes","unassigned","unassigned","unassigned","unassigned","fungi"
"918","M03493:516:000000000-L4LRP:1:1102:7639:5389","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Ascochyta","unassigned","fungi"
"919","M03493:516:000000000-L4LRP:1:1108:15287:15503","Fungi","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","fungi"
"920","M03493:516:000000000-L4LRP:1:1107:8696:10931","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Periconiaceae","Periconia","Periconia_pseudodigitata","fungi"
"921","M03493:516:000000000-L4LRP:1:1102:18066:24229","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","unassigned","fungi"
"922","M03493:516:000000000-L4LRP:1:1103:7349:16678","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_fam_Incertae_sedis","Acremonium","Acremonium_chrysogenum","fungi"
"923","M03493:516:000000000-L4LRP:1:1103:20002:26316","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Trichomonascaceae","Blastobotrys","Blastobotrys_serpentis","fungi"
"924","M03493:516:000000000-L4LRP:1:2102:11697:8217","Fungi","Glomeromycota","unassigned","unassigned","unassigned","unassigned","unassigned","fungi"
"925","M03493:516:000000000-L4LRP:1:1101:12925:5313","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","unassigned","unassigned","unassigned","fungi"
"926","M03493:516:000000000-L4LRP:1:1102:9997:17232","Fungi","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","fungi"
"927","M03493:516:000000000-L4LRP:1:1103:17427:18096","Fungi","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","fungi"
"928","M03493:516:000000000-L4LRP:1:1107:12758:23126","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Cyphellophoraceae","Cyphellophora","Cyphellophora_vermispora","fungi"
"929","M03493:516:000000000-L4LRP:1:1101:7738:23639","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","unassigned","unassigned","fungi"
"930","M03493:516:000000000-L4LRP:1:2111:6371:25493","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","fungi"
"931","M03493:516:000000000-L4LRP:1:2111:17099:15272","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","fungi"
"932","M03493:516:000000000-L4LRP:1:1101:15779:2924","Fungi","Rozellomycota","Rozellomycotina_cls_Incertae_sedis","GS08","unassigned","unassigned","unassigned","fungi"
"933","M03493:516:000000000-L4LRP:1:1101:16772:5997","Fungi","Ascomycota","Dothideomycetes","Pleosporales","unassigned","unassigned","unassigned","fungi"
"934","M03493:516:000000000-L4LRP:1:2105:16571:10691","Fungi","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","fungi"
