"","db","query","kingdom","phylum","class","order","family","genus","species","community"
"80","ncbi","Coccinellidae","Metazoa","Arthropoda","Insecta","Coleoptera","Coccinellidae","unassigned","unassigned","macrofauna_surface"
"81","ncbi","Brachinus crepitans","Metazoa","Arthropoda","Insecta","Coleoptera","Carabidae","Brachinus","Brachinus crepitans","macrofauna_surface"
"82","ncbi","Apidae","Metazoa","Arthropoda","Insecta","Hymenoptera","Apidae","unassigned","unassigned","macrofauna_surface"
"83","ncbi","Cucujoidea","Metazoa","Arthropoda","Insecta","Coleoptera","unassigned","unassigned","unassigned","macrofauna_surface"
"84","ncbi","Anthicidae","Metazoa","Arthropoda","Insecta","Coleoptera","Anthicidae","unassigned","unassigned","macrofauna_surface"
"85","ncbi","Geophilomorpha","Metazoa","Arthropoda","Chilopoda","Geophilomorpha","unassigned","unassigned","unassigned","macrofauna_surface"
"86","ncbi","Latridiidae","Metazoa","Arthropoda","Insecta","Coleoptera","Latridiidae","unassigned","unassigned","macrofauna_surface"
"87","ncbi","Erigone","Metazoa","Arthropoda","Arachnida","Araneae","Linyphiidae","Erigone","unassigned","macrofauna_surface"
"88","ncbi","Armadillidium","Metazoa","Arthropoda","Malacostraca","Isopoda","Armadillidiidae","Armadillidium","unassigned","macrofauna_surface"
"89","ncbi","Rhyzobius chrysomeloides","Metazoa","Arthropoda","Insecta","Coleoptera","Coccinellidae","Rhyzobius","Rhyzobius chrysomeloides","macrofauna_surface"
"90","ncbi","Euborellia moesta","Metazoa","Arthropoda","Insecta","Dermaptera","Anisolabididae","Euborellia","Euborellia moesta","macrofauna_surface"
"91","ncbi","Typhlocybinae","Metazoa","Arthropoda","Insecta","Hemiptera","Cicadellidae","unassigned","unassigned","macrofauna_surface"
"92","ncbi","Plagiolepis","Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae","Plagiolepis","unassigned","macrofauna_surface"
"93","ncbi","Alopecosa","Metazoa","Arthropoda","Arachnida","Araneae","Lycosidae","Alopecosa","unassigned","macrofauna_surface"
"94","ncbi","Formicidae","Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae","unassigned","unassigned","macrofauna_surface"
"95","ncbi","Apoidea","Metazoa","Arthropoda","Insecta","Hymenoptera","unassigned","unassigned","unassigned","macrofauna_surface"
"96","ncbi","Eucinetus haemorrhoidalis","Metazoa","Arthropoda","Insecta","Coleoptera","Eucinetidae","Eucinetus","Eucinetus haemorrhoidalis","macrofauna_surface"
"97","ncbi","Tychius medicaginis","Metazoa","Arthropoda","Insecta","Coleoptera","Curculionidae","Tychius","Tychius medicaginis","macrofauna_surface"
"98","ncbi","Himacerus mirmicoides","Metazoa","Arthropoda","Insecta","Hemiptera","Nabidae","Himacerus","Himacerus mirmicoides","macrofauna_surface"
"99","ncbi","Harpalus serripes","Metazoa","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalus","Harpalus serripes","macrofauna_surface"
