"finest_name","kingdom","phylum","class","order","family","genus","species","community"
"Peirates stridulus","Metazoa","Arthropoda","Insecta","Hemiptera","Reduviidae","Peirates","Peirates stridulus","macrofauna_aerial"
"Polynema","Metazoa","Arthropoda","Insecta","Hymenoptera","Mymaridae","Polynema","unassigned","macrofauna_aerial"
"Praini","Metazoa","Arthropoda","Insecta","Hymenoptera","Braconidae","unassigned","unassigned","macrofauna_aerial"
"Alysiini","Metazoa","Arthropoda","Insecta","Hymenoptera","Braconidae","unassigned","unassigned","macrofauna_aerial"
"Anthaxia cyanescens","Metazoa","Arthropoda","Insecta","Coleoptera","Buprestidae","Anthaxia","Anthaxia cyanescens","macrofauna_aerial"
"Anthaxia nigritula","Metazoa","Arthropoda","Insecta","Coleoptera","Buprestidae","Anthaxia","Anthaxia nigritula","macrofauna_aerial"
"Anthomalachius spinosus","Metazoa","Arthropoda","Insecta","Coleoptera","Malachiidae","Anthomalachius","Anthomalachius spinosus","macrofauna_aerial"
"Anthophila","Metazoa","Arthropoda","Insecta","Lepidoptera","Choreutidae","Anthophila","unassigned","macrofauna_aerial"
"Carcharodina","Metazoa","Arthropoda","Insecta","Lepidoptera","Hesperiidae","unassigned","unassigned","macrofauna_aerial"
"Cirrospilini","Metazoa","Arthropoda","Insecta","Hymenoptera","Eulophidae","unassigned","unassigned","macrofauna_aerial"
"Cordicomus instabilis","Metazoa","Arthropoda","Insecta","Coleoptera","Anthicidae","Cordicomus","Cordicomus instabilis","macrofauna_aerial"
"Dacnusini","Metazoa","Arthropoda","Insecta","Hymenoptera","Braconidae","unassigned","unassigned","macrofauna_aerial"
"Dasytini","Metazoa","Arthropoda","Insecta","Coleoptera","Melyridae","unassigned","unassigned","macrofauna_aerial"
"Dipogon variegatus","Metazoa","Arthropoda","Insecta","Hymenoptera","Pompilidae","Dipogon","Dipogon variegatus","macrofauna_aerial"
"Endomia","Metazoa","Arthropoda","Insecta","Coleoptera","Anthicidae","Endomia","unassigned","macrofauna_aerial"
"Epimeces","Metazoa","Arthropoda","Insecta","Lepidoptera","Geometridae","Epimecis","unassigned","macrofauna_aerial"
"Fenusini","Metazoa","Arthropoda","Insecta","Hymenoptera","Tenthredinidae","unassigned","unassigned","macrofauna_aerial"
"Haltichellini","Metazoa","Arthropoda","Insecta","Hymenoptera","Chalcididae","unassigned","unassigned","macrofauna_aerial"
"Onthophagus emarginatus","Metazoa","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Onthophagus","Onthophagus emarginatus","macrofauna_aerial"
"Pieris","Metazoa","Arthropoda","Insecta","Lepidoptera","Pieridae","Pieris","unassigned","macrofauna_aerial"
"Psilothrix viridicoerulea","Metazoa","Arthropoda","Insecta","Coleoptera","Melyridae","Psilothrix","Psilothrix viridicoerulea","macrofauna_aerial"
"Pteromalini","Metazoa","Arthropoda","Insecta","Hymenoptera","Pteromalidae","unassigned","unassigned","macrofauna_aerial"
"Xenomerus","Metazoa","Arthropoda","Insecta","Hymenoptera","Platygastridae","Xenomerus","unassigned","macrofauna_aerial"
