queryName;queryId;matchName;matchId;interactionId;interactionName;resourceId;resourceName;reference;graph
Aphelenchoididae;NA;Ektaphelenchoides;"c(""NCBITaxon:357813"", ""NCBI:357813"", ""GBIF:4405676"", ""https://tree.opentreeoflife.org/opentree/ottol@208818"")";ECOCORE:00000146;parasite;GBIF:54;Arthropoda;NA;gratin:nematrait
Aphelenchoididae;NA;Ektaphelenchus;"c(""NCBITaxon:483517"", ""NCBI:483517"", ""https://tree.opentreeoflife.org/opentree/ottol@786956"", ""GBIF:4405672"")";ECOCORE:00000146;parasite;GBIF:54;Arthropoda;NA;gratin:nematrait
Aphelenchoididae;NA;Robustodorus;"c(""NCBITaxon:1293520"", ""NCBI:1293520"", ""https://tree.opentreeoflife.org/opentree/ottol@3593473"")";RO:0002470;eats;GBIF:5;Fungi;NA;gratin:nematrait
Aphelenchoididae;NA;Schistonchus;"c(""NCBITaxon:411804"", ""NCBI:411804"", ""GBIF:4405114"", ""https://tree.opentreeoflife.org/opentree/ottol@628806"")";ECOCORE:00000146;parasite;GBIF:7707728;Tracheophyta;NA;gratin:nematrait
Diphterophoridae;NA;Diphterophora;"c(""NCBITaxon:288631"", ""NCBI:288631"", ""https://tree.opentreeoflife.org/opentree/ottol@212333"")";RO:0002470;eats;GBIF:5;Fungi;NA;gratin:nematrait
Diphtherophoridae;NA;Tylolaimophorus;"c(""NCBITaxon:327490"", ""NCBI:327490"", ""GBIF:2283883"", ""https://tree.opentreeoflife.org/opentree/ottol@99271"")";RO:0002470;eats;GBIF:5;Fungi;NA;gratin:nematrait
Diphtherophoridae;NA;Diphtherophora;"c(""NCBITaxon:211190"", ""NCBI:211190"", ""https://tree.opentreeoflife.org/opentree/ottol@1074605"", ""GBIF:2282793"")";RO:0002470;eats;GBIF:5;Fungi;NA;gratin:nematrait
Mononchidae;NA;Mononchus;"c(""NCBITaxon:211392"", ""NCBI:211392"", ""GBIF:2282524"", ""https://tree.opentreeoflife.org/opentree/ottol@79656"")";RO:0002470;eats;GBIF:4;Chromista;NA;gratin:nematrait
Mononchidae;NA;Mononchus;"c(""NCBITaxon:211392"", ""NCBI:211392"", ""GBIF:2282524"", ""https://tree.opentreeoflife.org/opentree/ottol@79656"")";RO:0002470;eats;GBIF:7;Protozoa;NA;gratin:nematrait
Mononchidae;NA;Mononchus;"c(""NCBITaxon:211392"", ""NCBI:211392"", ""GBIF:2282524"", ""https://tree.opentreeoflife.org/opentree/ottol@79656"")";RO:0002470;eats;GBIF:5967481;Nematoda;NA;gratin:nematrait
Mononchidae;NA;Mononchus;"c(""NCBITaxon:211392"", ""NCBI:211392"", ""GBIF:2282524"", ""https://tree.opentreeoflife.org/opentree/ottol@79656"")";RO:0002470;eats;GBIF:3565;Enchytraeidae;NA;gratin:nematrait
Mononchidae;NA;Clarkus;"c(""NCBITaxon:211395"", ""NCBI:211395"", ""GBIF:8173203"", ""https://tree.opentreeoflife.org/opentree/ottol@79663"")";RO:0002470;eats;GBIF:7;Protozoa;NA;gratin:nematrait
Mononchidae;NA;Clarkus;"c(""NCBITaxon:211395"", ""NCBI:211395"", ""GBIF:8173203"", ""https://tree.opentreeoflife.org/opentree/ottol@79663"")";RO:0002470;eats;GBIF:4;Chromista;NA;gratin:nematrait
Mononchidae;NA;Clarkus;"c(""NCBITaxon:211395"", ""NCBI:211395"", ""GBIF:8173203"", ""https://tree.opentreeoflife.org/opentree/ottol@79663"")";RO:0002470;eats;GBIF:3565;Enchytraeidae;NA;gratin:nematrait
Mononchidae;NA;Clarkus;"c(""NCBITaxon:211395"", ""NCBI:211395"", ""GBIF:8173203"", ""https://tree.opentreeoflife.org/opentree/ottol@79663"")";RO:0002470;eats;GBIF:5967481;Nematoda;NA;gratin:nematrait
Mononchidae;NA;Clarkus;"c(""NCBITaxon:211395"", ""NCBI:211395"", ""GBIF:8173203"", ""https://tree.opentreeoflife.org/opentree/ottol@79663"")";RO:0002470;eats;NCBI:6231;Nematoda;NA;gratin:hedde_misc1
Mononchidae;NA;Clarkus;"c(""NCBITaxon:211395"", ""NCBI:211395"", ""GBIF:8173203"", ""https://tree.opentreeoflife.org/opentree/ottol@79663"")";RO:0002470;eats;GBIF:4;Chromista;NA;gratin:hedde_misc1
Mononchidae;NA;Clarkus;"c(""NCBITaxon:211395"", ""NCBI:211395"", ""GBIF:8173203"", ""https://tree.opentreeoflife.org/opentree/ottol@79663"")";RO:0002470;eats;NCBI:10190;Rotifera;NA;gratin:hedde_misc1
Mononchidae;NA;Clarkus;"c(""NCBITaxon:211395"", ""NCBI:211395"", ""GBIF:8173203"", ""https://tree.opentreeoflife.org/opentree/ottol@79663"")";RO:0002470;eats;GBIF:7;Protozoa;NA;gratin:hedde_misc1
