"queryName","community","fun","version","best_level"
"Laetisaria","fungi","guilds","queryName","genus"
"Paraphoma","fungi","guilds","queryName","genus"
"Vishniacozyma","fungi","guilds","queryName","genus"
"Lectera","fungi","guilds","queryName","genus"
"Setophoma","fungi","guilds","queryName","genus"
"Macrophomina","fungi","guilds","queryName","genus"
"Rhizopus","fungi","guilds","queryName","genus"
"Gibellulopsis","fungi","guilds","queryName","genus"
"Preussia","fungi","guilds","queryName","genus"
"Coniosporium","fungi","guilds","queryName","genus"
"Chordomyces","fungi","guilds","queryName","genus"
"Psathyrella","fungi","guilds","queryName","genus"
"Conocybe","fungi","guilds","queryName","genus"
"Fusarium","fungi","guilds","queryName","genus"
"Stagonosporopsis","fungi","guilds","queryName","genus"
"Aureobasidium","fungi","guilds","queryName","genus"
"Acrocalymma","fungi","guilds","queryName","genus"
"Stemphylium","fungi","guilds","queryName","genus"
"Nectriopsis","fungi","guilds","queryName","genus"
"Agrocybe","fungi","guilds","queryName","genus"
"Verrucaria","fungi","guilds","queryName","genus"
"Pseudopithomyces","fungi","guilds","queryName","genus"
"Bipolaris","fungi","guilds","queryName","genus"
"Trichoderma","fungi","guilds","queryName","genus"
"Clohesyomyces","fungi","guilds","queryName","genus"
"Talaromyces","fungi","guilds","queryName","genus"
"Robillarda","fungi","guilds","queryName","genus"
"Paraphaeosphaeria","fungi","guilds","queryName","genus"
"Polyschema","fungi","guilds","queryName","genus"
"Helicoma","fungi","guilds","queryName","genus"
"Aspergillus","fungi","guilds","queryName","genus"
"Waitea","fungi","guilds","queryName","genus"
"Iodophanus","fungi","guilds","queryName","genus"
"Penicillium","fungi","guilds","queryName","genus"
"Pestalotiopsis","fungi","guilds","queryName","genus"
"Spegazzinia","fungi","guilds","queryName","genus"
"Botryotinia","fungi","guilds","queryName","genus"
"Bartalinia","fungi","guilds","queryName","genus"
"Fusariella","fungi","guilds","queryName","genus"
"Boubovia","fungi","guilds","queryName","genus"
"Neosetophoma","fungi","guilds","queryName","genus"
"Pseudogymnoascus","fungi","guilds","queryName","genus"
"Boeremia","fungi","guilds","queryName","genus"
"Herpotrichia","fungi","guilds","queryName","genus"
"Spizellomyces","fungi","guilds","queryName","genus"
"Candida","fungi","guilds","queryName","genus"
"Podospora","fungi","guilds","queryName","genus"
"Albifimbria","fungi","guilds","queryName","genus"
"Beauveria","fungi","guilds","queryName","genus"
"Metacordyceps","fungi","guilds","queryName","genus"
"Platystomum","fungi","guilds","queryName","genus"
"Hymenoscyphus","fungi","guilds","queryName","genus"
"Stagonospora","fungi","guilds","queryName","genus"
"Hannaella","fungi","guilds","queryName","genus"
"Chloridium","fungi","guilds","queryName","genus"
"Drechslera","fungi","guilds","queryName","genus"
"Conlarium","fungi","guilds","queryName","genus"
"Stachylidium","fungi","guilds","queryName","genus"
"Coniophora","fungi","guilds","queryName","genus"
"Saitozyma","fungi","guilds","queryName","genus"
"Phialocephala","fungi","guilds","queryName","genus"
"Geastrum","fungi","guilds","queryName","genus"
"Cladophialophora","fungi","guilds","queryName","genus"
"Bullera","fungi","guilds","queryName","genus"
"Metarhizium","fungi","guilds","queryName","genus"
"Mucor","fungi","guilds","queryName","genus"
"Paraconiothyrium","fungi","guilds","queryName","genus"
"Exophiala","fungi","guilds","queryName","genus"
"Scytalidium","fungi","guilds","queryName","genus"
"Devriesia","fungi","guilds","queryName","genus"
"Dominikia","fungi","guilds","queryName","genus"
"Coniocessia","fungi","guilds","queryName","genus"
"Pluteus","fungi","guilds","queryName","genus"
"Annulohypoxylon","fungi","guilds","queryName","genus"
"Roussoella","fungi","guilds","queryName","genus"
"Phaeosphaeria","fungi","guilds","queryName","genus"
"Dioszegia","fungi","guilds","queryName","genus"
"Pyrenochaetopsis","fungi","guilds","queryName","genus"
"Setophaeosphaeria","fungi","guilds","queryName","genus"
"Cistella","fungi","guilds","queryName","genus"
"Heteroconium","fungi","guilds","queryName","genus"
"Monosporascus","fungi","guilds","queryName","genus"
"Myriodontium","fungi","guilds","queryName","genus"
"Apseudocercosporella","fungi","guilds","queryName","genus"
"Chlamydocillium","fungi","guilds","queryName","genus"
"Verticillium","fungi","guilds","queryName","genus"
"Schizothecium","fungi","guilds","queryName","genus"
"Athelia","fungi","guilds","queryName","genus"
"Pseudosclerococcum","fungi","guilds","queryName","genus"
"Cystobasidium","fungi","guilds","queryName","genus"
"Chalara","fungi","guilds","queryName","genus"
"Ascochyta","fungi","guilds","queryName","genus"
"Leohumicola","fungi","guilds","queryName","genus"
"Gymnopus","fungi","guilds","queryName","genus"
"Serendipita","fungi","guilds","queryName","genus"
"Ramularia","fungi","guilds","queryName","genus"
"Glomus","fungi","guilds","queryName","genus"
"Entoloma","fungi","guilds","queryName","genus"
"Cyathicula","fungi","guilds","queryName","genus"
"Neofitzroyomyces","fungi","guilds","queryName","genus"
"Poaceascoma","fungi","guilds","queryName","genus"
"Septoriella","fungi","guilds","queryName","genus"
"Rhizophagus","fungi","guilds","queryName","genus"
"Daldinia","fungi","guilds","queryName","genus"
"Cornuvesica","fungi","guilds","queryName","genus"
"Pyrenochaeta","fungi","guilds","queryName","genus"
"Sclerostagonospora","fungi","guilds","queryName","genus"
"Dissoconium","fungi","guilds","queryName","genus"
"Plenodomus","fungi","guilds","queryName","genus"
"Diaporthe","fungi","guilds","queryName","genus"
"Chaetosphaeronema","fungi","guilds","queryName","genus"
"Pseudocoleophoma","fungi","guilds","queryName","genus"
"Wojnowiciella","fungi","guilds","queryName","genus"
"Chrysosporium","fungi","guilds","queryName","genus"
"Neoscolecobasidium","fungi","guilds","queryName","genus"
"Acericola","fungi","guilds","queryName","genus"
"Veronaeopsis","fungi","guilds","queryName","genus"
"Pleospora","fungi","guilds","queryName","genus"
"Phialemonium","fungi","guilds","queryName","genus"
"Cephalotrichum","fungi","guilds","queryName","genus"
"Gamsia","fungi","guilds","queryName","genus"
"Keissleriella","fungi","guilds","queryName","genus"
"Discosia","fungi","guilds","queryName","genus"
"Sporormiella","fungi","guilds","queryName","genus"
"Neodevriesia","fungi","guilds","queryName","genus"
"Symmetrospora","fungi","guilds","queryName","genus"
"Papiliotrema","fungi","guilds","queryName","genus"
"Pseudolophiostoma","fungi","guilds","queryName","genus"
"Crocicreas","fungi","guilds","queryName","genus"
"Diversispora","fungi","guilds","queryName","genus"
"Absidia","fungi","guilds","queryName","genus"
"Blastobotrys","fungi","guilds","queryName","genus"
"Capronia","fungi","guilds","queryName","genus"
"Phoma","fungi","guilds","queryName","genus"
"Tubaria","fungi","guilds","queryName","genus"
"Mycena","fungi","guilds","queryName","genus"
"Clarireedia","fungi","guilds","queryName","genus"
"Ophiosphaerella","fungi","guilds","queryName","genus"
"Neocladosporium","fungi","guilds","queryName","genus"
"Paraophiobolus","fungi","guilds","queryName","genus"
"Murispora","fungi","guilds","queryName","genus"
"Hyphoderma","fungi","guilds","queryName","genus"
"Sympodiella","fungi","guilds","queryName","genus"
"Tremella","fungi","guilds","queryName","genus"
"Cryptococcus","fungi","guilds","queryName","genus"
"Physcia","fungi","guilds","queryName","genus"
"Agaricus","fungi","guilds","queryName","genus"
"Pyrenophora","fungi","guilds","queryName","genus"
"Acrostalagmus","fungi","guilds","queryName","genus"
"Leptodontidium","fungi","guilds","queryName","genus"
"Peziza","fungi","guilds","queryName","genus"
"Dictyosporium","fungi","guilds","queryName","genus"
"Vermispora","fungi","guilds","queryName","genus"
"Tetracladium","fungi","guilds","queryName","genus"
"Tricharina","fungi","guilds","queryName","genus"
"Leptosphaeria","fungi","guilds","queryName","genus"
"Fibulochlamys","fungi","guilds","queryName","genus"
"Leucoagaricus","fungi","guilds","queryName","genus"
"Cordana","fungi","guilds","queryName","genus"
"Curvularia","fungi","guilds","queryName","genus"
"Epicoccum","fungi","guilds","queryName","genus"
"Minutisphaera","fungi","guilds","queryName","genus"
"Leucocoprinus","fungi","guilds","queryName","genus"
"Leucothecium","fungi","guilds","queryName","genus"
"Pseudaleuria","fungi","guilds","queryName","genus"
"Halosarpheia","fungi","guilds","queryName","genus"
"Kendrickiella","fungi","guilds","queryName","genus"
"Myrmecridium","fungi","guilds","queryName","genus"
"Arthrinium","fungi","guilds","queryName","genus"
"Lipomyces","fungi","guilds","queryName","genus"
"Neomyrmecridium","fungi","guilds","queryName","genus"
"Lamprospora","fungi","guilds","queryName","genus"
"Disciotis","fungi","guilds","queryName","genus"
"Helicodendron","fungi","guilds","queryName","genus"
"Hormonema","fungi","guilds","queryName","genus"
"Cyphellophora","fungi","guilds","queryName","genus"
"Microdochium","fungi","guilds","queryName","genus"
"Gaeumannomyces","fungi","guilds","queryName","genus"
"Coprinopsis","fungi","guilds","queryName","genus"
"Chaetomella","fungi","guilds","queryName","genus"
"Bovista","fungi","guilds","queryName","genus"
"Polymyxa","protists","guilds","queryName","genus"
"Rhogostoma","protists","guilds","queryName","genus"
"Kraken","protists","guilds","queryName","genus"
"Heteromita","protists","guilds","queryName","genus"
"Cercomonas","protists","guilds","queryName","genus"
"Proleptomonas","protists","guilds","queryName","genus"
"Trinema","protists","guilds","queryName","genus"
"Eocercomonas","protists","guilds","queryName","genus"
"Spongomonas","protists","guilds","queryName","genus"
