"","queryName","queryId","matchName","matchId","trophicGroupId","trophicGroupName","reference","graph"
"893","Peniophora","NA","Peniophora","c(""NCBITaxon:40463"", ""IF:18201"", ""https://tree.opentreeoflife.org/opentree/ottol@468072"", ""GBIF:2513703"", ""NCBI:40463"")","SFWO:0000411","Fungi.saprotrophs","NA","onto:implicit"
"894","Peniophora","NA","Peniophora","c(""NCBITaxon:40463"", ""IF:18201"", ""https://tree.opentreeoflife.org/opentree/ottol@468072"", ""GBIF:2513703"", ""NCBI:40463"")","SFWO:0000413","Fungi.wood_saprotrophs","NA","onto:implicit"
"895","Kurtzmanomyces","NA","Kurtzmanomyces","c(""NCBITaxon:5612"", ""IF:11247"", ""GBIF:2556526"", ""NCBI:5612"", ""https://tree.opentreeoflife.org/opentree/ottol@293758"")","SFWO:0000410","Fungi.all","NA","onto:implicit"
"896","Kurtzmanomyces","NA","Kurtzmanomyces","c(""NCBITaxon:5612"", ""IF:11247"", ""GBIF:2556526"", ""NCBI:5612"", ""https://tree.opentreeoflife.org/opentree/ottol@293758"")","SFWO:0000411","Fungi.saprotrophs","NA","onto:implicit"
"897","Thelebolus","NA","Thelebolus","c(""NCBITaxon:46452"", ""IF:5419"", ""https://tree.opentreeoflife.org/opentree/ottol@723610"", ""GBIF:2580324"", ""NCBI:46452"")","SFWO:0000410","Fungi.all","NA","onto:implicit"
"898","Thelebolus","NA","Thelebolus","c(""NCBITaxon:46452"", ""IF:5419"", ""https://tree.opentreeoflife.org/opentree/ottol@723610"", ""GBIF:2580324"", ""NCBI:46452"")","SFWO:0000411","Fungi.saprotrophs","NA","onto:implicit"
"899","Thelebolus","NA","Thelebolus","c(""NCBITaxon:46452"", ""IF:5419"", ""https://tree.opentreeoflife.org/opentree/ottol@723610"", ""GBIF:2580324"", ""NCBI:46452"")","SFWO:0000416","Fungi.dung_saprotrophs","NA","onto:implicit"
"900","Acrophialophora","NA","Acrophialophora","c(""NCBITaxon:389487"", ""IF:7037"", ""https://tree.opentreeoflife.org/opentree/ottol@273212"", ""GBIF:2592089"", ""NCBI:389487"")","SFWO:0000409","Fungi.pathotrophs","NA","onto:implicit"
"901","Acrophialophora","NA","Acrophialophora","c(""NCBITaxon:389487"", ""IF:7037"", ""https://tree.opentreeoflife.org/opentree/ottol@273212"", ""GBIF:2592089"", ""NCBI:389487"")","SFWO:0000410","Fungi.all","NA","onto:implicit"
"902","Acrophialophora","NA","Acrophialophora","c(""NCBITaxon:389487"", ""IF:7037"", ""https://tree.opentreeoflife.org/opentree/ottol@273212"", ""GBIF:2592089"", ""NCBI:389487"")","SFWO:0000412","Fungi.symbiotrophs","NA","onto:implicit"
"903","Acrophialophora","NA","Acrophialophora","c(""NCBITaxon:389487"", ""IF:7037"", ""https://tree.opentreeoflife.org/opentree/ottol@273212"", ""GBIF:2592089"", ""NCBI:389487"")","SFWO:0000418","Fungi.plant_pathogens","NA","onto:implicit"
"904","Nigrospora","NA","Nigrospora","c(""NCBITaxon:114230"", ""IF:9124"", ""GBIF:2569652"", ""NCBI:114230"", ""https://tree.opentreeoflife.org/opentree/ottol@758220"")","SFWO:0000410","Fungi.all","NA","onto:implicit"
"905","Nigrospora","NA","Nigrospora","c(""NCBITaxon:114230"", ""IF:9124"", ""GBIF:2569652"", ""NCBI:114230"", ""https://tree.opentreeoflife.org/opentree/ottol@758220"")","SFWO:0000411","Fungi.saprotrophs","NA","onto:implicit"
"906","Nigrospora","NA","Nigrospora","c(""NCBITaxon:114230"", ""IF:9124"", ""GBIF:2569652"", ""NCBI:114230"", ""https://tree.opentreeoflife.org/opentree/ottol@758220"")","SFWO:0000415","Fungi.litter_saprotrophs","NA","onto:implicit"
"907","Dematiopleospora","NA","Dematiopleospora","c(""NCBITaxon:2059301"", ""IF:550537"", ""NCBI:2059301"", ""GBIF:7358984"")","SFWO:0000410","Fungi.all","NA","onto:implicit"
"908","Dematiopleospora","NA","Dematiopleospora","c(""NCBITaxon:2059301"", ""IF:550537"", ""NCBI:2059301"", ""GBIF:7358984"")","SFWO:0000411","Fungi.saprotrophs","NA","onto:implicit"
"909","Dematiopleospora","NA","Dematiopleospora","c(""NCBITaxon:2059301"", ""IF:550537"", ""NCBI:2059301"", ""GBIF:7358984"")","SFWO:0000415","Fungi.litter_saprotrophs","NA","onto:implicit"
"910","Cladorrhinum","NA","Cladorrhinum","c(""NCBITaxon:223374"", ""IF:7678"", ""NCBI:223374"", ""GBIF:2573336"", ""https://tree.opentreeoflife.org/opentree/ottol@587377"")","SFWO:0000410","Fungi.all","NA","onto:implicit"
"911","Cladorrhinum","NA","Cladorrhinum","c(""NCBITaxon:223374"", ""IF:7678"", ""NCBI:223374"", ""GBIF:2573336"", ""https://tree.opentreeoflife.org/opentree/ottol@587377"")","SFWO:0000411","Fungi.saprotrophs","NA","onto:implicit"
"912","Massaria","NA","Massaria","c(""NCBITaxon:45312"", ""IF:3013"", ""GBIF:2568432"", ""https://tree.opentreeoflife.org/opentree/ottol@1039831"", ""NCBI:45312"")","SFWO:0000410","Fungi.all","NA","onto:implicit"
"913","Massaria","NA","Massaria","c(""NCBITaxon:45312"", ""IF:3013"", ""GBIF:2568432"", ""https://tree.opentreeoflife.org/opentree/ottol@1039831"", ""NCBI:45312"")","SFWO:0000411","Fungi.saprotrophs","NA","onto:implicit"
"914","Massaria","NA","Massaria","c(""NCBITaxon:45312"", ""IF:3013"", ""GBIF:2568432"", ""https://tree.opentreeoflife.org/opentree/ottol@1039831"", ""NCBI:45312"")","SFWO:0000413","Fungi.wood_saprotrophs","NA","onto:implicit"
"915","Veronaea","NA","Veronaea","c(""NCBITaxon:364772"", ""IF:10387"", ""https://tree.opentreeoflife.org/opentree/ottol@393478"", ""GBIF:2588962"", ""NCBI:364772"")","SFWO:0000409","Fungi.pathotrophs","NA","onto:implicit"
"916","Veronaea","NA","Veronaea","c(""NCBITaxon:364772"", ""IF:10387"", ""https://tree.opentreeoflife.org/opentree/ottol@393478"", ""GBIF:2588962"", ""NCBI:364772"")","SFWO:0000410","Fungi.all","NA","onto:implicit"
"917","Veronaea","NA","Veronaea","c(""NCBITaxon:364772"", ""IF:10387"", ""https://tree.opentreeoflife.org/opentree/ottol@393478"", ""GBIF:2588962"", ""NCBI:364772"")","SFWO:0000412","Fungi.symbiotrophs","NA","onto:implicit"
